x-axis,1,2,3
second,Volt,Volt,Volt
+9.945000E-03,-12.476562500E+00,-228.515625E-03,+41.406274E-03
+9.950000E-03,-12.515625000E+00,-316.406250E-03,+74.609399E-03
+9.955000E-03,-12.515625000E+00,-414.062500E-03,+105.859399E-03
+9.960000E-03,-12.515625000E+00,-511.718750E-03,+137.109399E-03
+9.965000E-03,-12.515625000E+00,-609.375000E-03,+168.359399E-03
+9.970000E-03,-12.476562500E+00,-697.265625E-03,+201.562524E-03
+9.975000E-03,-12.476562500E+00,-804.687500E-03,+230.859399E-03
+9.980000E-03,-12.515625000E+00,-902.343750E-03,+264.062524E-03
+9.985000E-03,-12.515625000E+00,-1.009765625E+00,+295.312524E-03
+9.990000E-03,-12.515625000E+00,-1.107421875E+00,+324.609399E-03
+9.995000E-03,-12.515625000E+00,-1.205078125E+00,+355.859399E-03
+10.000000E-03,-12.515625000E+00,-1.302734375E+00,+385.156274E-03
+10.005000E-03,-12.515625000E+00,-1.410156250E+00,+412.500024E-03
