time	V(n002)
4.308026521909195e-003	-2.003600e-001
4.308708256050365e-003	-5.792531e-002
4.309310866681888e-003	7.827791e-002
4.309930190186765e-003	2.164143e-001
4.310564732251740e-003	3.433047e-001
4.311210473226815e-003	4.462848e-001
4.311806887745335e-003	5.082739e-001
4.312424280283029e-003	5.314361e-001
4.313062211067592e-003	5.103831e-001
4.313658102995657e-003	4.457718e-001
4.314483913044797e-003	2.972268e-001
4.315334983884579e-003	9.822313e-002
4.315969213714109e-003	-6.970564e-002
4.316626550014935e-003	-2.446324e-001
4.317306337193115e-003	-4.103725e-001
4.317756245783328e-003	-5.029094e-001
4.318177098561816e-003	-5.707309e-001
4.318530822677023e-003	-6.114398e-001
4.318908218561683e-003	-6.360094e-001
4.319302888011804e-003	-6.406960e-001
4.319715771060040e-003	-6.181968e-001
4.320418467075805e-003	-5.278348e-001
4.321092476352002e-003	-3.891492e-001
4.321907175561333e-003	-1.668907e-001
4.322548086882581e-003	3.288727e-002
4.323217894547109e-003	2.475855e-001
4.323867271261537e-003	4.408339e-001
4.324464321028656e-003	5.887686e-001
4.325078720997805e-003	6.939323e-001
4.325814871353850e-003	7.495486e-001
4.326487759670066e-003	7.288176e-001
4.327103542850104e-003	6.399302e-001
4.327903450905057e-003	4.410299e-001
4.328757617237992e-003	1.610849e-001
4.329396395485700e-003	-7.788705e-002
4.330060766117358e-003	-3.298320e-001
4.330741066207343e-003	-5.665078e-001
4.331261237523559e-003	-7.208711e-001
4.331579586319564e-003	-7.973887e-001
4.331833071067664e-003	-8.448402e-001
4.332114580907999e-003	-8.831877e-001
4.332407661221110e-003	-9.070608e-001
4.332726135818659e-003	-9.116339e-001
4.333186721892695e-003	-8.827535e-001
4.333643927141208e-003	-8.138541e-001
4.334188109421655e-003	-6.807985e-001
4.334754186050530e-003	-4.929379e-001
4.335383847222062e-003	-2.383033e-001
4.336041896156722e-003	5.676768e-002
4.336671494888478e-003	3.434032e-001
4.337348339068458e-003	6.292421e-001
4.337953230303334e-003	8.412349e-001
4.338573226606281e-003	9.925415e-001
4.339232976676035e-003	1.068868e+000
4.339834638693889e-003	1.052452e+000
4.340449238682298e-003	9.421936e-001
4.341202957963236e-003	6.961935e-001
4.342058000028240e-003	3.148395e-001
4.342707396654973e-003	-2.432432e-002
4.343390516351690e-003	-3.957582e-001
4.344019468970451e-003	-7.165141e-001
4.344596432019524e-003	-9.718506e-001
4.344983281244108e-003	-1.114282e+000
4.345162207025456e-003	-1.168028e+000
4.345360965402422e-003	-1.216130e+000
4.345572261686101e-003	-1.256271e+000
4.345767895924212e-003	-1.282782e+000
4.345974587949800e-003	-1.298691e+000
4.346204025153062e-003	-1.298452e+000
4.346662899559587e-003	-1.248766e+000
4.347266898609938e-003	-1.105289e+000
4.347839960987812e-003	-8.857801e-001
4.348508020259078e-003	-5.426073e-001
4.349142880201488e-003	-1.585536e-001
4.349736631732112e-003	2.274171e-001
4.350347119533262e-003	6.180786e-001
4.350979729434354e-003	9.813199e-001
4.351624302842545e-003	1.277031e+000
4.352221192458660e-003	1.455773e+000
4.352845579476206e-003	1.523133e+000
4.353493230934949e-003	1.461615e+000
4.354080822297426e-003	1.277573e+000
4.354928300871724e-003	8.383455e-001
4.355761700541377e-003	2.785014e-001
4.356391179854116e-003	-2.001051e-001
4.357044460418789e-003	-6.982781e-001
4.357743069658738e-003	-1.185474e+000
4.358189000132269e-003	-1.455292e+000
4.358365514406042e-003	-1.545060e+000
4.358618769241525e-003	-1.654776e+000
4.358762240913307e-003	-1.707309e+000
